CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8960","CLST 318","1R","Leaders of Rome","3","  AIWT","Lec","MWF","1300-1350","MCM 160","Buszard, Bradley","1","Open",
"8961","CLST 407","1","WI: The Ancient World in Film","3","  AICE  WI","Lec","MWF","1000-1050","MCM 164","Padilla, Mark","0","Closed",
"8001","COLL 140","1F","The Transitional Learner","2","","Lec","MW","1300-1350","MCM 262","Harrelson, Madison","0","Closed",
"8002","COLL 140","2F","The Transitional Learner","2","","Lec","TR","1330-1420","FORBES 2070E","O&#39;Neill, Jessica","6","Open",
"8003","COLL 140","3F","The Transitional Learner","2","","Lec","MW","1730-1820","FORBES 2070A","Park, David","4","Open",
"8004","COLL 140","4F","The Transitional Learner","2","","Lec","MW","1100-1150","FORBES 3012","Sorlin, Alexander","0","Closed",
"8005","COLL 150","1","The Intentional Learner","2","","Lec","MW","1400-1450","FORBES 2074","Biggio, Brian","0","Closed",
"8008","COLL 277","1","Internship: Course for Career","1 - 3","","Pra","","","ARR ","Hobgood, Sarah; Staton, Logan","0","Closed",
"8596","COMM 201","1","Public Speaking","3","","Lec","TR","1500-1615","LUTR 121","Girvan, Shawn","0","Closed",
"8597","COMM 201","2","Public Speaking","3","","Lec","TR","1630-1745","LUTR 121","Girvan, Shawn","0","Closed",
"9172","COMM 201","3","Public Speaking","3","","Lec","M","1930-2215","LUTR 137","Wroten, Amanda","1","Open",
"8598","COMM 201","3R","Public Speaking","3","","Lec","MWF","1300-1350","FORBES 2088","Robinson, Melanie","0","Closed",
"8599","COMM 201","4","Public Speaking","3","","Lec","MWF","1400-1450","FORBES 2088","Robinson, Melanie","0","Closed",
"8600","COMM 201","5C","Public Speaking","3","","Lec","W","1930-2215","LUTR 139","Wroten, Amanda","3","Open",
"8601","COMM 211","1","Interpersonal Communication","3","","Lec","TR","1330-1445","LUTR 121","Toh, Zena","1","Open",
"8602","COMM 222","1","Intro to Critical Media Studie","3","","Lec","MWF","1000-1050","FORBES 1022","Cummings, Kelsey","2","Open",
"9206","COMM 239","1","Argumentation","3","  LLFR","Lec","TR","0930-1045","LUTR 131","Steiner, Mark","5","Open",
"8603","COMM 239","1C","Argumentation","3","  LLFR","Lec","TR","1500-1615","LUTR 131","Steiner, Mark","0","Closed",
"8606","COMM 239","4","Argumentation","3","  LLFR","Lec","MW","1800-1915","FORBES 2070C","Kryscio, Kathryn","0","Closed",
"8607","COMM 239","5M","Argumentation","3","  LLFR","Lec","MW","1930-2045","FORBES 2070C","Kryscio, Kathryn","0","Closed",
"8608","COMM 239","6","Argumentation","3","  LLFR","Lec","MW","1600-1715","LUTR 139","Riddick, Breonna","1","Open",
"8609","COMM 239","7","Argumentation","3","  LLFR","Lec","MW","1800-1915","LUTR 139","Riddick, Breonna","0","Closed",
"9176","COMM 240","1","Intercultural Communication","3","  AIGM","Lec","TR","0930-1045","TFAC 204","Toh, Zena","0","Closed",
"9177","COMM 240","2","Intercultural Communication","3","  AIGM","Lec","TR","1100-1215","TFAC 204","Toh, Zena","0","Closed",
"8610","COMM 249","1","Introduction to Rhetoric","3","","Lec","MWF","0900-0950","LUTR 139","Connable, Sean","0","Closed",
"8611","COMM 249","2","Introduction to Rhetoric","3","","Lec","MWF","1000-1050","LUTR 139","Connable, Sean","0","Closed",
"8612","COMM 249","3","Introduction to Rhetoric","3","","Lec","TR","1330-1445","FORBES 2014","Smith, James","5","Open",
"8613","COMM 303","1","Rhetorical Theory","3","","Lec","MWF","1300-1350","LUTR 139","Connable, Sean","6","Open",
"8614","COMM 315","1","Historical Topics in Media","3","","Lec","MWF","1200-1250","LUTR 137","Cummings, Kelsey","0","Closed",
"8615","COMM 320","1","Media Industries","3","","Lec","TR","1330-1445","FORBES 3012","Sarkissian, Raffi","0","Closed",
"8616","COMM 320","2","Media Industries","3","","Lec","TR","1630-1745","LUTR 142","Sarkissian, Raffi","3","Open",
"8617","COMM 321","1","WI: Communication and Film","3","  WI","Lec","TR","1100-1215","MCM 101","Sarkissian, Raffi","0","Closed",
"8618","COMM 323","1","Listening, Contempltn &amp; Dialog","3","","Lec","MWF","1400-1450","LUTR 139","Connable, Sean","2","Open",
"8619","COMM 325","1","Persuasion","3","","Lec","TR","1100-1215","LUTR 131","Steiner, Mark","1","Open",
"8620","COMM 326","1","Media Audiences","3","","Lec","TR","1630-1745","LUTR 139","Meyer, Michaela","2","Open",
"8621","COMM 326","2","Media Audiences","3","","Lec","TR","1800-1915","LUTR 139","Meyer, Michaela","3","Open",
"8622","COMM 335","1","Rhetoric and Politics","3","","Lec","TR","1100-1215","FORBES 2014","Smith, James","0","Closed",
"8623","COMM 335","2","Rhetoric and Politics","3","","Lec","M","1930-2215","LUTR 139","Connelly, Christopher","7","Open",
"8626","COMM 360","1","Health &amp; Medical Communication","3","","Lec","TR","0930-1045","LUTR 264","Veksler, Alice","0","Closed",
"8627","COMM 389","1","Relationships and Technology","3","","Lec","TR","1330-1445","LUTR 139","Roach&#233;, David","0","Closed",
"8628","COMM 389","2","Relationships and Technology","3","","Lec","TR","1500-1615","LUTR 139","Roach&#233;, David","7","Open",
"9150","COMM 395","1","SPC TP: Comm Intrper Dark Side","3","","Lec","MWF","1100-1150","LUTR 139","Lane, Brianna","1","Open",
"9151","COMM 395","2","SPC TP: Comm Intrper Dark Side","3","","Lec","MWF","1200-1250","LUTR 139","Lane, Brianna","1","Open",
"8629","COMM 402","1","Media Research Methods","3","","Lec","TR","0930-1045","LUTR 139","Stern, Danielle","7","Open",
"8630","COMM 402","2","Media Research Methods","3","","Lec","TR","1100-1215","LUTR 139","Stern, Danielle","9","Open",
"8631","COMM 403","1","Rhetorical Criticism","3","","Lec","TR","0930-1045","FORBES 2088","Smith, James","1","Open",
"8632","COMM 404","1","Quant Rrsch Mthds in Comm","3","","Lec","MWF","0900-0950","LUTR 109","Lane, Brianna","11","Open",
"8633","COMM 405","1","Qualitative Research Methods","3","","Lec","MWF","0900-0950","FORBES 2014","Manning, Linda","4","Open",
"8635","COMM 452","1","WI: Sr Research in Comm","3","  WI","Lec","TR","0930-1045","TRIB 208","Manning, Linda","0","Closed",
"9213","COMM 491","1","Practicum in Communication","1 - 3","","Pra","","","ARR ","Roach&#233;, David","0","Closed",
"9370","COMM 499","1","IND ST: Contm Close Relatnship","3","","Ind","","","ARR ","Roach&#233;, David","0","Closed",
"9371","COMM 499","2","IND ST: Alumni Marketing","3","","Ind","","","ARR ","Veksler, Alice","0","Closed",
"9215","COMP 231","1","Applied Music: Composition","1","","Lab","","","ARR ","Rossum, Kelly","0","Closed",
"9216","COMP 231","2","Applied Music: Composition","1","","Lab","","","ARR ","Tfirn, Maxwell","0","Closed",
"9334","COMP 231","3","Applied Music: Composition","1","","Lab","","","ARR ","Kim, Seung-Hye","0","Closed",
"9217","COMP 331","1","Applied Music: Composition","1","","Lab","","","ARR ","Tfirn, Maxwell","0","Closed",
"9219","COND 533","1","Applied Music: Conducting","2","","Lab","","","ARR ","Irving, John","0","Closed",
"9220","COND 533","2","Applied Music: Conducting","2","","Lab","","","ARR ","Reimer, Mark","0","Closed",
"8847","CPEN 214","1","Digital Logic Design","3","","Lec","TR","1630-1745","LUTR 269","Keshtkar Vanashi, Hessam","4","Open",
"8848","CPEN 214","2","Digital Logic Design","3","","Lec","TR","0930-1045","LUTR 347","Keshtkar Vanashi, Hessam","0","Closed",
"8849","CPEN 371","1","WI: Computer Ethics","2","  WI","Lec","MW","1400-1450","LUTR 322","Riedl, Anton","0","Closed",
"8850","CPEN 371","2","WI: Computer Ethics","2","  WI","Lec","MW","1600-1650","LUTR 322","Valdez, Katherine","0","Closed",
"8851","CPEN 371","3","WI: Computer Ethics","2","  WI","Lec","MW","1500-1550","LUTR 322","Valdez, Katherine","0","Closed",
"8852","CPEN 431","1","Computer Engineering Design","3","","Lec","TR","1500-1615","LUTR 204","Wang, Dali","5","Open",
"8853","CPEN 497","1","WI: Computer Eng Capstn Dsgn 1","2","  WI","Lec","MWF","1300-1350","LUTR 322","Riedl, Anton; Ghaffari, Azad","3","Open",
"8854","CPEN 498","1","Computer Engineering Capstn 2","2","","Ind","MWF","1300-1350","LUTR 322","Riedl, Anton; Ghaffari, Azad","2","Open",
"8330","CPSC 110","1M","Introduction to Computing","3","  LLFR","Lec","MW","1800-1915","LUTR 258","Hawkins, Kenneth","0","Closed",
"8331","CPSC 110","2C","Introduction to Computing","3","  LLFR","Lec","MW","1930-2045","LUTR 258","Hawkins, Kenneth","4","Open",
"8333","CPSC 110","3M","Introduction to Computing","3","  LLFR","Lec","MW","2100-2215","LUTR 258","Hawkins, Kenneth","6","Open",
"8334","CPSC 110","4M","Introduction to Computing","3","  LLFR","Lec","MWF","1500-1550","LUTR 258","Davis, Kimberly","1","Open",
"8336","CPSC 110","6M","Introduction to Computing","3","  LLFR","Lec","MWF","1300-1350","LUTR 258","Davis, Kimberly","1","Open",
"8426","CPSC 140","1","Intro-Comp Prog w/ Multimedia","3","  LLFR","Lec","MWF","0900-0950","LUTR 258","Belsky, Daniel","0","Closed",
"8431","CPSC 150","3M","Introduction to Programming","3","  LLFR","Lec","MWF","1000-1050","LUTR 121","Belsky, Daniel","11","Open",
"8434","CPSC 150","6M","Introduction to Programming","3","  LLFR","Lec","MWF","1300-1350","LUTR 121","Belsky, Daniel","54","Open",
"8436","CPSC 150L","2R","Intro to Programming Lab","1","","Lab","W","1800-1945","LUTR 236","Lu, Yan; Kropinski, Brett","4","Open",
"8437","CPSC 150L","3R","Intro to Programming Lab","1","","Lab","M","1800-1945","LUTR 236","Lu, Yan; Kropinski, Brett","1","Open",
"8438","CPSC 150L","4M","Intro to Programming Lab","1","","Lab","T","1800-1945","LUTR 323","Venturi, Gaelan","0","Closed",
"8440","CPSC 150L","6R","Intro to Programming Lab","1","","Lab","T","2000-2145","LUTR 236","Lu, Yan; Luzier, Joshua","1","Open",
"8441","CPSC 150L","7M","Intro to Programming Lab","1","","Lab","R","1800-1945","LUTR 323","Lu, Yan; Luzier, Joshua","0","Closed",
"8443","CPSC 215","2","Software Pkgs-Busn Applcations","3","","Lec","MW","1600-1715","LUTR 258","Wilde, Scott","0","Closed",
"8444","CPSC 215","3","Software Pkgs-Busn Applcations","3","","Lec","MW","1800-1915","LUTR 109","Leybold, Alan","0","Closed",
"8445","CPSC 215","4","Software Pkgs-Busn Applcations","3","","Lec","MW","1930-2045","LUTR 109","Leybold, Alan","1","Open",
"8446","CPSC 215","5","Software Pkgs-Busn Applcations","3","","Lec","MWF","1000-1050","LUTR 109","Davis, Kimberly","0","Closed",
"8448","CPSC 250","1","Progrmng for Data Manipulation","3","","Lec","TR","1630-1745","LUTR 236","Lu, Yan","1","Open",
"8449","CPSC 250","2","Progrmng for Data Manipulation","3","","Lec","TR","1500-1615","LUTR 236","Lu, Yan","1","Open",
